Customer code,R,F,M
2,218,1540,-0.312678765197504
353,235,11,0.27457610902062
412,341,1,-0.220707934051807
1067,1226,3,0.183985568467946
1072,426,3,-0.333062218199112
1076,246,2,-0.23093048630125723
1080,356,23,-0.08560010345961898
1090,640,6,1.7402303099984942
1091,333,11,-0.510055296899832
1093,454,10,-0.16674693631303725
1095,309,23,-0.39623603780298705
1102,298,39,-0.0023494868592342324
1109,1068,2,-0.08701602987504597
1116,627,5,0.8151143568851478
1121,1156,2,-0.5079279606232481
1125,406,20,0.3766117693869817
1129,1079,3,0.42837725441788294
1131,641,19,-0.27345962912070537
1132,463,10,-0.1894925870606353
1134,440,8,-0.3250893766822298
1150,257,9,-0.07136181508386577
1154,313,20,-0.28608923776390255
1158,853,6,-1.018304364585057
1159,251,12,-0.5790936110535733
1161,262,17,-0.29135802522049803
1168,221,10,-0.6292167904977779
1169,434,13,-0.3597757318835196
1176,250,79,0.19766021067529513
1177,242,15,-0.006414649811663953
1181,979,6,-0.28953903762567545
1201,257,3,-0.7710636736184461
1202,217,18,0.08819680153052317
1204,853,15,-0.0054888043236973934
1215,620,2,-0.48484070914157307
1217,361,8,-0.08492273807675164
1223,245,2,-0.19996582497926746
1228,767,5,-0.5331600736750022
1229,375,26,-0.43144318178215496
1232,371,2,-0.45362833052900803
1243,271,14,-0.3893303393814216
1245,1128,3,-0.44355045081576117
1258,693,29,0.2733073687901029
1266,335,33,1.1394532160844897
1268,218,80,-0.11593842379956991
1281,1181,3,0.024690964763103007
1299,719,5,-0.034809550366474554
1302,242,9,-0.3017043697220957
1316,529,7,-0.3234047555443123
1319,232,50,0.801399024622494
1324,264,15,0.1259290387113512
1330,970,10,0.20144286557452298
1339,817,4,-0.3147394386353548
1342,397,10,-0.10171164279545937
1344,668,8,0.09193109933949128
1346,395,1,-0.228176610362671
1356,483,15,-0.348550104675291
1364,426,22,-0.39801431460541037
1365,984,5,-0.294602129918129
1370,1149,5,-0.3344041055814146
1385,1026,10,7.839211618278784
1388,671,17,-0.10923683825890683
1396,375,6,-0.3044694926302281
1400,894,6,1.0749646766182421
1402,694,4,0.002558542397206487
1405,522,20,0.06982795733990495
1413,329,22,-0.22126099449941647
1419,523,12,-0.2663258945253768
1421,438,6,-0.5332488817333005
1422,1028,2,-0.0652715271476835
1426,503,8,-0.44776024008448706
1451,468,11,0.6083467774042658
1452,558,17,-0.31890583938114436
1460,334,20,0.10427968053655184
1466,368,3,-0.2610633157807469
1470,540,25,-0.3542844550042657
1471,885,4,-0.257522937444582
1480,379,2,-0.20534129018476494
1484,494,14,4.820647183489866
1488,489,2,-0.46509144815040804
1492,432,28,0.5582721265760727
1500,1253,4,-0.09845289510215222
1502,279,17,-0.23427685358314493
1503,735,9,-0.7294767133174742
1505,845,6,-0.5657865478504477
1506,1253,4,8.850178784353037
1508,285,24,-0.42388279618600005
1514,929,5,0.057339114201474
1519,374,15,-0.016861197601865607
1521,683,7,-0.3631819594785397
1522,271,2,-0.498428002529662
1524,445,2,-0.1708466574720687
