Customer code,R,F,M,labels
8075,621,5,-0.09606601091992756,2
8152,225,18,4.33628864461456,1
8165,1093,3,-0.29464758745057607,0
8167,1118,6,-0.4216728000447138,0
8192,260,23,0.05022194496693134,1
8223,991,2,1.097131451934353,0
8291,404,16,-0.3698113812707437,1
8461,1058,13,-0.12202436984314075,0
8473,1124,4,0.013363593397684781,0
8480,804,8,-0.7610904544604675,2
8500,941,2,0.27086423628611506,0
8544,279,3,0.318557986573314,1
8554,406,17,-0.1835327783495286,1
8611,866,2,0.9091326071840231,0
8651,286,45,-0.3167143035099622,1
8689,525,2,-0.48484070914157307,2
8708,260,16,4.9340492349237755,1
8858,741,3,0.48863448535047693,2
9011,276,29,0.6795770682886684,1
9045,363,8,-0.13142399890997702,1
9073,364,6,-0.5208103772802575,1
9076,1000,6,-0.22182481156183734,0
9081,784,6,-0.368501401169654,2
9082,279,29,-0.4545765040323879,1
9130,820,15,-0.46305521484112744,2
9281,931,2,0.033235232368902023,0
9285,628,11,0.12932340740807732,2
9349,249,10,0.3821691435356929,1
9400,924,2,-0.363112432552567,0
9459,431,11,-0.39839441046548096,1
9550,330,2,-0.2258770535735087,1
9553,441,3,-0.299849650552672,1
9559,783,18,-0.6253295272618798,2
9599,636,6,-0.0031029152395170845,2
9666,229,29,-0.08978921462672639,1
9728,292,15,1.6908600058666734,1
9788,313,6,0.020207367195362796,1
9834,974,7,-1.8600890895688047,0
9836,1119,5,0.26682216991683805,0
9838,314,6,1.4413570427851345,1
9839,225,27,0.41215559052118567,1
9880,475,5,-0.10048962008700903,1
9993,391,14,-0.9339704129807948,1
10000,641,17,1.7372210859490793,2
10018,364,23,-0.21454162014606276,1
10033,916,6,-0.42219598178166295,0
10048,860,4,1.0931240054660614,0
10052,571,3,-0.05309845740999902,2
10108,438,9,-0.1679236788349564,1
10185,390,15,-0.274149972524582,1
10194,553,11,2.1412259723167115,2
10205,918,3,-0.6148841148425941,0
10239,718,6,-0.6396310721711287,2
10334,347,7,-0.214938024106288,1
10341,1023,8,0.00694548987515764,0
10399,237,23,-0.08420235864754394,1
10409,974,8,-0.2537088362010866,0
10458,1064,6,0.5937344291629588,0
10492,791,2,-0.499567502066311,2
10598,306,20,-0.2199509329416561,1
10741,791,6,-0.48776377317036834,2
10943,749,9,0.03874557893430325,2
10987,515,11,-0.5565270012668674,2
10989,659,1,0.0734191909135085,2
11000,691,5,0.011303952214071988,2
11138,528,18,0.5655131407248428,2
11204,1306,3,0.857014868165924,0
11207,230,89,0.6372299068803003,1
11241,229,26,0.28887589503684735,1
11246,313,10,0.326236233121633,1
11274,1237,3,2.2561233639251546,0
11287,536,22,0.31205893837190046,2
11336,887,8,0.5132042844697843,0
11357,496,2,-0.065579194841832,2
11407,1153,2,-0.1623313756085211,0
11447,383,22,-0.11434027561617614,1
11551,523,16,-0.15783751485155886,2
11591,412,7,-0.23508334211430387,1
11600,221,19,-0.3578653478901307,1
11689,496,9,0.06981133987550975,2
11705,312,63,-0.16328695312166666,1
11741,1007,4,6.690331727821615,0
11863,985,12,-0.11470247601644208,0
11872,357,10,-0.44681140216865384,1
11890,1006,2,-0.257213290831362,0
11901,1075,2,-0.459722175877175,0
11944,1114,6,0.26208100688659525,0
11945,430,12,-0.21227539540181953,1
11982,868,5,-0.37216860652971434,0
12044,697,4,0.051371234505190516,2
12062,620,19,-0.33351614586337897,2
12091,1015,6,-0.5815471973451658,0
12152,423,4,-0.1697359550704489,1
12156,463,3,-0.29984332953288084,1
12224,372,16,-0.40177606657272885,1
12276,356,17,1.407277880384491,1
12284,655,2,-0.3395792899478547,2
12289,363,21,0.5203404406645138,1
12295,694,5,-0.04083496381312077,2
12298,278,4,-0.4362881201886935,1
12370,774,2,0.12736780278775,2
12395,651,8,-0.17512259007663153,2
12404,636,6,-0.4374689059404384,2
12410,1265,1,-0.19177703168544602,0
12457,266,24,0.6038249806222091,1
12459,582,17,-0.4304296428630091,2
12460,312,32,0.7069732824518866,1
12513,651,17,0.6394902697320051,2
12524,669,8,-0.2917004113324138,2
12627,242,11,0.3648361908922456,1
12647,459,8,-0.34837606310542907,1
12658,406,28,-0.40942406861911085,1
12696,994,7,3.4085851919613304,0
12773,299,40,0.46028340752867225,1
12780,537,21,-0.2311504919819842,2
12834,916,10,0.7066655826013125,0
12900,225,7,0.0030782539776477574,1
12945,427,13,-0.6287657447876446,1
12999,463,5,-0.3552340332527175,1
13037,697,1,0.0149579103375919,2
13044,928,5,0.09737022835854195,0
13047,385,18,-0.5047815096526176,1
13147,638,5,-0.07032199149682548,2
13171,973,9,2.781539659961101,0
13193,935,2,0.11730428785810404,0
13268,938,3,0.11248816547547286,0
13324,374,12,0.1201921732123836,1
13354,385,5,-0.27841380497899304,1
13355,655,3,-0.31591411684652004,2
13370,757,9,-0.19693240571677403,2
13401,225,16,3.4121505644176957,1
13481,225,9,2.573968180876667,1
13596,932,5,1.91939159128061,0
13656,421,9,-0.7184526497216307,1
13665,454,8,-0.33185951275627956,1
13718,277,11,1.5978130934639798,1
13735,1239,4,-0.41500153133072054,0
13766,370,17,0.11908434067258865,1
13774,292,64,0.13445440426305916,1
13848,602,8,1.416455841096754,2
13898,354,10,-0.4366405430797573,1
13901,237,12,-0.14027710522854733,1
13912,298,58,0.71257285065134,1
13959,1079,1,-0.0250484320904188,0
13962,421,3,-0.5291491605742693,1
14006,831,1,0.005296936005131121,2
14007,301,17,0.06835690711216318,1
14008,405,11,-0.3626356408119713,1
14019,574,4,-0.6035800345409981,2
14023,1301,2,-0.2348010689665058,0
14028,334,37,0.704293311067696,1
14054,615,17,-0.22861877025187324,2
14099,734,28,0.6187281973648399,2
14109,503,17,0.4882776141046691,2
14159,944,19,0.6712167020689795,0
14252,248,20,0.23287261610956844,1
