Customer code,R,F,M,labels
2490,627,19,0.24953896049036656,2
2714,1110,4,0.6072482152643242,2
2733,519,16,0.17735142356362485,3
2763,551,18,0.2681415314399253,2
2793,340,7,-0.047325899508206,1
2812,841,11,0.1351027111422194,0
2870,601,4,-0.3656081842551194,1
2895,391,13,0.021039201387241663,3
2912,788,9,-0.13252900663316772,0
2977,882,4,-0.15930674749058896,0
3034,592,22,-0.46696668305514116,3
3092,322,13,0.285385496483309,2
3118,1176,2,-0.2961296771808396,0
3199,662,10,-0.4138742895710751,1
3231,258,4,0.3207102191424145,2
3253,1133,2,0.019530273267788945,0
3286,508,18,-0.3949369646956146,3
3294,435,7,-0.34818267753416876,1
3317,859,19,0.16203972829037802,3
3328,477,3,-0.21552655675310295,1
3399,445,9,-0.06108734003107267,1
3418,868,8,-0.49154152941948137,0
3507,634,2,-0.490055158108196,1
3513,344,17,0.594005418365283,2
3554,655,4,-0.426388717964053,1
3660,503,3,-0.4643091597660231,1
3767,872,4,-0.125399824049784,0
3884,561,14,0.2857581102944692,2
3900,320,8,-0.10213496115026777,1
3904,635,6,0.598868370010144,2
3916,634,2,-0.44362055198974,1
3930,235,20,0.084266513502965,3
3941,1155,3,0.9883663422005748,2
3947,273,11,0.6942832140814694,2
3953,593,4,-0.275479631669207,1
4069,622,3,-0.5347042208154349,1
4103,628,23,-0.0018647266337135555,3
4117,390,11,0.571200171630302,2
4246,281,25,-0.2626350897266889,3
4260,1096,5,-0.428555254797057,0
4274,928,6,-0.37776697460088743,0
4277,834,2,-0.5232368891808401,0
4288,525,9,0.6792801893506066,2
4308,1028,9,-0.10260393220729432,0
4356,277,24,0.06243605408402486,3
4495,431,9,0.26059110842317273,2
4582,475,6,0.13012563656447793,2
4635,319,11,0.2434017023675214,2
4730,963,2,-0.2725593769825411,0
4849,271,10,-0.16415420470085074,1
4873,382,26,0.3417273841742092,3
4876,258,13,0.6018082378014741,2
4896,614,13,-0.4096314208971923,3
4916,498,7,0.1886621837900174,2
4933,1050,8,-0.38463857154853515,0
4939,818,18,0.22961665231941178,2
4983,664,12,-0.16082916954271212,3
4988,404,8,0.6462131485642446,2
4995,452,18,0.154496746948326,3
5006,971,2,-0.49253852394622,0
5106,477,3,-0.37291373732051203,1
5173,399,7,-0.1897146238555456,1
5290,329,19,0.4511679612756051,2
5303,999,2,-0.25163965179340386,0
5365,823,10,-0.13026849205305133,0
5417,550,16,-0.34007946735121336,3
5496,819,19,-0.18063795080721642,3
5544,285,18,0.11764934185673141,3
5884,927,2,-0.507940346487777,0
5912,603,8,-0.5051831723507396,1
6022,631,21,-0.17120499777725082,3
6085,704,15,-0.2803927564840813,3
6150,512,12,-0.358822467333627,3
6159,707,2,-0.467519077598052,0
6182,676,10,-0.2445250498222101,1
6228,378,14,-0.36933566983859656,3
6319,945,4,0.1992987110387345,0
6378,238,25,0.20439015241575903,3
6420,575,2,-0.07239761326493499,1
6427,244,25,0.9866897757432218,2
6442,383,7,-0.2863716588949816,1
6446,792,10,0.6555284765834255,2
6498,466,3,0.4865350813128449,2
6530,270,2,-0.2272147269426187,1
6591,678,13,-0.5179580372427347,3
6685,1076,3,0.273472201102044,0
6713,312,6,-0.2879054631337185,1
6858,949,14,0.5581979352475462,2
6952,434,15,-0.5867333760301671,3
7012,882,8,0.8224737481147807,2
7015,280,4,-0.3538044553591771,1
7136,320,15,-0.2637514199594317,3
7175,796,6,0.2504016705374821,2
7283,964,3,-0.05712014762249901,0
7326,937,4,-0.24251034069584249,0
7332,613,6,0.04711565788417199,1
7352,1064,5,0.17903983224190298,0
7482,586,2,-0.490055158108196,1
7502,263,24,0.12922603232140734,3
7584,460,15,-0.014356462623461205,3
7669,238,6,-0.2859732682672263,1
7701,937,2,-0.1964172747917678,0
7788,609,4,-0.3632858346559702,1
7849,865,5,-0.3383768716290265,0
7869,462,3,-0.21371215568716004,1
7927,244,9,-0.4405497562665908,1
7966,1041,4,-0.4398389054703151,0
8008,371,6,0.239773979478548,2
8024,340,17,0.5637705255216642,2
8056,427,15,-0.24027359947332072,3
8061,904,2,-0.23244156177377032,0
8071,511,2,-0.49264380379471506,1
8075,621,5,-0.09606601091992756,1
8165,1093,3,-0.29464758745057607,0
8167,1118,6,-0.4216728000447138,0
8192,260,23,0.05022194496693134,3
8223,991,2,1.097131451934353,2
8291,404,16,-0.3698113812707437,3
8461,1058,13,-0.12202436984314075,0
8473,1124,4,0.013363593397684781,0
8500,941,2,0.27086423628611506,0
